id,kaili_ledo,indonesia,contoh
1,Aa,Partikel dipakai untuk menunjukkan tidak menyukai melakukan sesuatu,Koi hau manambu uve! Aa! Pergi ambil air! Tidak mau
2,Abalaa,"Kecelakaan, musibah, malapetaka","Nee hau ri kandalana, mbelaka maria abala manggava iko ngena! Jangan pergi ke bagian yang dalam, seandainya ada musibah mendapat kamu nanti!"
3,Ade,Dagu,
4,Adena,Bagian ujung gagang pedang yang melindungi tangan,
5,Ade Ntule,Bagian bawah tangkai buah pohon enau,
6,Nompangadu,Melaporkan,"Ane tesana masala, ia mamala rapanganduka. Kalau salah yang dia katakan, dia dapat dibawa ke pengadilan"
7,Aga,"Cuma, hanya",Aga sanggani nakava ira. Mereka hanya satu kali datang.
8,Aga,"Tetapi, melainkan","Niulina ia makava, aga ledo nakava. Katanya akan datang, tetapi tidak datang"
9,Agaiana,Tetapi,"Aga kandea mpuu naoge sakide nikande nu madika, ane uta bo bau aga njongona nikabena, apa nirampai mpengaya. Agaiana I Doko nagali mpaesa kandeana bo uta nte bauna. Bangsawan hanya makan nasi agak banyak, kalau sayur dengan daging  dia hanya 
ambil sediki"
10,Agama,Agama,
11,Noagama,Beragama,
12,Noagi,Memilih isteri atau suami untuk anaknya; menjodohkan,Totua nggapuri hii domo noagi anana. Orang tua sekarang tidak memilih jodoh untuk anaknya
13,Nanggeni Agi,Mengandalkan kekuatan sendiri; orang yang tidak bergantung kepada pandangan-pandangan orang lain;,
14,Nangagi,"Mengancam; bergerak seakan-akan akan melakukan pukulan, sepak, tinju, tampar, tikam, tombak, parang, dll.",
15,Agina,Lebih baik,"Ledo nabelo ane nalimpuno mata, agina nee manginu tule. Tidak baik kalau kita mabuk, lebih baik jangan minum saguer."
16,Aginamo,Sebaiknya; menyesal keputusan yg pernah dibuat.,
17,Aginapa,Lebih baik,
18,Nangago,Merampas,
19,Nangagosi,Merampas,
20,Mbara-Mbara Niago,barang rampasan.,
21,Topeago,Orang yang suka merampas,
22,Nosiago,Saling merampas.,Mosiago tona mesua ra oto. Orang berdesak-desak masuk ke dalam mobil
23,Ahera,akhirat,
24,Noaja,"Memotong panjang dari ujung ke ujung, seperti cara memotong tomat, terong, bawang; memotong kecil dan panjang.",
25,Noajari,mengajar.,
26,Nangaji,mengaji,
27,Ajima,jimat,
28,Nangajo Tesa,"nada suara naik turun, seperti logat orang dari tempat lain",
29,Nangajo Nolipa,"jalan sambil bergoyang 
mencari gaya.",
30,Neaju,"berpura-pura menyerang dgn tombak, dibuat untuk menyambut tamu.",
31,Eo Aka,hari minggu,
32,Akala,"cara, jalan, siasat, niat.",
33,Noakala,"memberi alasan, bersiasat, banyak niat yg mau dicoba-coba",
34,Nombaakalani,mengkhianat; menipu; mengakali; tipu muslihat; mengelabui.,
35,Neakalani,menipu,
36,Opeakalani,penipu.,
37,Tompangakalani,menyembunyikan,
38,Akeka,aqiqah,
39,Noakeka,acara menyembelih kambing,
40,Yaku,"saya, aku",
41,Akupa,giliran saya,
42,Nangaku,1)mengaku 2) monopoli; maunya untuk diri sendiri.,
43,Nompangaku,mengakui.,
44,Nompangakusi,menyatakan hak atas milik orang lain.,Nipangakusi i Yalimo pomanggiku. Yali menyatakan hak atas cangkul saya.
45,Nangala,Mengambil,"Ane radekeina ka yaku, kuala. Kalau diberikan kepada saya, saya akan mengambil."
46,Pangala,tempat mengambil,Ri umba pangalamu susu kate namomi gaga? Di mana kau ambil susu yang begitu manis?
47,Nialasi,diambil tanpa izin pemilik.,
48,Nombaala,mengambilkan.,"Yaku hau mombaala ose ka komiu.  Saya pergi 
mengambilkan beras untukmu."
49,Rapangala,tempat untuk mengambil,Riumba rapangala balon? Di mana tempat ambil balon?
50,Nosiala Pale,saling bergilir dalam pekerjaan; saling bertukar tenaga.,
51,Nompasiala,meniru; mengikuti teladan orang.,
52,Nangala Rara,mempersenang hati orang supaya disayangi; mengambil hati.,
53,Ala,"agar, supaya.",Nidundusiku doyata ala ledo masovu. Saya menyiram halaman supaya tidak banyak debu.
54,Alasa,alasan,
55,Alasa Mate,alasan dibuat-buat.,
56,Nangalataka,lompatan atau langkah pendek yg pertama diambil untuk mulai suatu lomba atau untuk melompat,
57,Pangalataka,"tempat bertolak perlombaan, tempat mulai.","Dako ri pangalataka singgani-nggani sapedara tatalu, eva nidaiti. Dari tempat bertolak perlombaan, tiga sepeda itu bersamasama seakan-akan diikat."
58,Rapangalatakata,tempat memulai lomba.,
59,Ala Ta Ala,Tuhan yang Maha Esa.,
60,Ale,Panggilan yang dipakai oleh sesama lakilaki,
61,Noale,menjalin-anyamkan; cara mengikat s.s. dgn rotan atau tali supaya ujungnya tidak terlepas,
62,Niale,"mengikat dengan menjalin, biasa memakai rotan.",
63,Alena,ikatan pada sarung pedang untuk mengeratkan; simpai,
64,Poale Mbiti Kada,1) bagian kaki yg tipis; bagian tangan yg tipis; anyaman.  2) gelang kaki atau gelang tangan buat dari rotan.,
65,Sarimpoale Mbiti,ukuran dalam/tinggi dari tanah ke pertengahan kaki bawah,
66,Nangali,membeli,
67,Alina,harganya,
68,Nateali,terbeli,"Nateali buku hitu, nisarumakaku buku niulimiu. Buku ini terbeli, saya kira buku ini yang dimaksudmu."
69,Noposiali,"saling dibeli-beli, banyak orang membeli.",Naupu tambue niposialisi ntona. Habis kacang dibeli oleh orang banyak.
70,Topangali,pembeli,
71,Noali,berharga,
72,Nangaliaka,"memindahkan, menyingkirkan, mengambil dari suatu tempat",
73,Alima,lima,
74,Alinea,"paragraf, alinea",
75,Alisi Mata,alis mata,
76,Alo,burung enggang besar yg mempunyai jambul merah yg besar di kepalanya,
77,Alu,alat penumbuk padi.,
78,Alusu,semacam piring antik yg putih dan dangkal atau rata.,
79,Neamba,"melemparkan, seperti melemparkan batu ke tempat tertentu dalam mainan anakanak",
80,Peambana,gilirannya melempar; lemparan; tempat jatuhnya barang yg dilemparkan; tempat berdiri orang yang melempar.,
81,Ambe,di bawah,
82,Ri Ambena,di bawahnya,
83,Nomparitambe,"merendahkan, taruh di bawah",
84,Netiriambe,merendahkan diri,
85,Ampa,empat,
86,Kapata-Nggani,keempat kali,
87,Ampayu,empedu,
88,Ampena,perangainya; sifat batin manusia,
89,Ampu,ampun,
90,Nerapi Ampu,minta ampun.,
91,Nombaampungi,mengampuni,
92,Nosiampungi,saling mengampuni; saling memafkan,
93,Noamu Kadue,"enak, lunak karena serabut tidak keras, khusus keladi","Noamu nikita, apa uga naoya. Lunak dilihat karena serabut sudah masak."
94,Ana,"anak, khusus keturunan.",
95,Ana Kodi,bayi,
96,Ana Panggaupu,anak bungsu,
97,Ana Lumbula,anak sulung,
98,Rapoana,"1) kemenakan; bersaudara dengan orang dari generasi yang sama dengan anak sendiri, yaitu anak saudara kandung dan anak sepupu 2) untuk dijadikan anak 
sendiri.",
99,Noana,1) melahirkan. give birth. 2) mempunyai anak; beranak,
100,Kapoanana,sementara melahirkan; begitu akan melahirkan,
101,Ana Patuvu,"anak piara, anak angkat.",
102,Ana Pailusi,anak piatu,
103,Ana Pailumpaka,anak yatim piatu,
104,Namate Mpoana,meninggal dalam bersalin,
105,Nadaa Poana,susah melahirkan.,
106,Nipoanaka Mpanjili,dilahirkan kembali.,
107,Natiana,hamil; mengandung. pregnant. manusia dan binatang,
108,Katiana,kehamilan,
109,Nompakatiana,menghamili; mengandungkan.,
110,Nikatianaka,masih dalam kandungan; dikandung,I Toni da nikatianaka ntinana tempo lingu mbaso baipia. Toni masih dalam kandungan ibunya waktu gempa bumi besar dulu
111,Nompopoana Doi,membungakan uang; simpang uang di bank supaya ada bunganya.,
112,Ana Rungga,anak kutu yang baru menetas,
113,Ana Bimba,anak domba,
114,Ana Japi,anak sapi,
115,Ana Guru,murid,
116,Ana Koda,"ketua kelompok anak buah kapal laut, majikan",
117,Ane,"kalau, jika; anai-anai, rapi",
118,Kayu Anga,sejenis pohon yang dianggap terkutuk; bisa menyebabkan alergi [gatal dan pembengkak] pada orang tertentu,
119,Neangga,berdiri,
120,Peanggana,"tempat, tempat berdiri",
121,Nompopeangga,mendirikan,
122,Nipepeangga,"didirikan kembali, seperti tangga yg jatuh.",
123,Nosimpeangga,berdiri bersama-sama,
124,Niangga,dianggap; dihargai.,
125,Nosimpeanggasi,"saling naik emosi, amarah, dll.",
126,Nipeanggasi,dilawan,
127,Nanganggataka,mengangkat,
128,Neanggataka,berangkat,
129,Nateanggataka,terangkat,
130,Anggo,"kera, monyet.",
131,Angguru,"buah anggur, dan minuman keras dibuat dari buah anggur.",
132,Angu,"kata penggolong untuk biji-bijian atau butir; dipakai juga sebagai kata penggolong untuk barang besar seperti rumah, mobil, jalan, dan binatang besar seperti anoa, sapi, kambing, kuda, rusa, dll. Dipakai juga sebagai kata penggolong umum.",
133,Saangu,sebuah,
134,Noangu,berbiji,
135,Naliangu,menjadi bundar,
136,Pokaliangu,bundarkan,
137,Angu Mata,bola mata,
138,Anitu,"sejenis orang halus yg jadi dari arwah, tetapi tidak semua arwah menjadi anitu",
139,Anja,"mangga yang berbau, mangga kuini, mangga embacang.",
140,Ante,"dengan, dan, bersama",
141,Neanto,"meramal, khusus untuk mendapat s.s. yg hilang atau mengenal penyakit",
142,Peanto,ramalan,
143,Topeanto,orang yang meramalkan; ahli peramal,
144,Nompekianto,minta ramalan,
145,Nanganto,1) melihat bayangan badan sendiri di cermin atau di air; nonton diri sendiri berjalan. 2) memandang dari jauh.,
146,Neantoaka,memandang atau nonton dari tempat yg jauh,"Ira aga neangga neantoaka nggavao bo nikitara unu nu apu haitu. Mereka hanya berdiri nonton dari jauh, dan melihat asap itu"
147,Nangantoaka,memandang pemandangan atau orang lain yg jauh,"Niantoakara ako ri buntina moitu kami nokarajaa ri 
lobuna. Dari bukit itu mereka menonton kami 
bekerja di lembah."
148,Anu,"1) yang (konjungsi), 2) dipakai kalau sudah terlupa kata atau tidak 
tahu namanya; biasa juga dipakai supaya tidak 
perlu sebut namanya (kata benda)","1) Niulikana puramo anu nialina ri potomu. Dia katakan semua yg dibeli di pasar, 2)Naanu vai, 
nosivunta vai ira. Sesudah rasa 
anu, mereka saling memercikkan lagi."
149,Anumo,"Silahkan, ayolah",
150,Neanyu-Anyuka,mengejek-ejek,
151,Ao,pembayaran kepada dukun untuk belajar doa,
